Age;Gender;Education Level;Job Title;Years of Experience;Salary;Class
32;Male;Bachelor's;Junior Sales Representative;3;45000,00;Muy Bajo
37;Female;Bachelor's;Senior Financial Analyst;9;100000,00;Medio
45;Male;Master's;Senior Software Developer;16;140000,00;Medio
33;Female;Bachelor's;Junior Operations Analyst;5;70000,00;Bajo
39;Male;Bachelor's;Senior Marketing Specialist;10;120000,00;Medio
44;Female;PhD;Senior HR Manager;18;160000,00;Alto
29;Male;Bachelor's;Junior Business Analyst;15;40000,00;Muy Bajo
38;Female;Bachelor's;Senior Product Manager;10;120000,00;Medio
46;Male;PhD;Senior Data Analyst;19;150000,00;Alto
34;Female;Bachelor's;Junior Marketing Analyst;6;70000,00;Bajo
36;Male;Bachelor's;Senior Operations Manager;8;95000,00;Bajo
49;Female;Master's;Director of Marketing;21;180000,00;Alto
31;Male;Bachelor's;Junior Financial Analyst;3;50000,00;Muy Bajo
41;Female;Bachelor's;Senior Project Coordinator;11;95000,00;Bajo
47;Male;Master's;Director of Operations;20;170000,00;Alto
30;Female;Bachelor's;Junior Marketing Coordinator;2;40000,00;Muy Bajo
38;Male;Master's;Senior IT Consultant;9;110000,00;Medio
45;Female;PhD;Senior Product Designer;15;150000,00;Alto
28;Male;Bachelor's;Junior Business Development Associate;2;40000,00;Muy Bajo
35;Female;Bachelor's;Senior Marketing Analyst;8;85000,00;Bajo
44;Male;Bachelor's;Senior Software Engineer;14;130000,00;Medio
34;Female;Master's;Senior Financial Advisor;6;100000,00;Medio
35;Male;Bachelor's;Senior Project Coordinator;9;95000,00;Bajo
50;Female;PhD;Director of Operations;22;180000,00;Alto
29;Male;Bachelor's;Junior Business Operations Analyst;15;350,00;Muy Bajo
;;;;;;Muy Bajo
37;Female;Bachelor's;Senior Financial Manager;10;120000,00;Medio
46;Male;PhD;Senior Data Scientist;18;160000,00;Alto
31;Female;Bachelor's;Junior Marketing Coordinator;3;50000,00;Muy Bajo
42;Male;Bachelor's;Senior Operations Manager;12;110000,00;Medio
29;Female;Bachelor's;Junior Sales Representative;15;40000,00;Muy Bajo
36;Male;Bachelor's;Senior Marketing Specialist;8;95000,00;Bajo
44;Female;Master's;Senior HR Specialist;15;140000,00;Medio
33;Male;Bachelor's;Junior Operations Manager;4;60000,00;Bajo
39;Female;Bachelor's;Senior Marketing Coordinator;9;110000,00;Medio
45;Male;PhD;Senior Data Engineer;16;150000,00;Alto
32;Female;Bachelor's;Junior Marketing Manager;4;60000,00;Bajo
37;Male;Bachelor's;Senior Financial Analyst;8;90000,00;Bajo
47;Female;Master's;Director of Marketing;20;180000,00;Alto
30;Male;Bachelor's;Junior Business Analyst;2;40000,00;Muy Bajo
38;Female;Bachelor's;Senior Project Manager;9;120000,00;Medio
46;Male;PhD;Senior Data Analyst;17;160000,00;Alto
34;Female;Bachelor's;Junior Financial Analyst;5;70000,00;Bajo
36;Male;Bachelor's;Senior Product Manager;8;95000,00;Bajo
49;Female;Master's;Director of Operations;21;180000,00;Alto
31;Male;Bachelor's;Junior Operations Analyst;3;50000,00;Muy Bajo
41;Female;Bachelor's;Senior Project Coordinator;11;95000,00;Bajo
47;Male;Master's;Director of Marketing;19;170000,00;Alto
29;Female;Bachelor's;Junior Business Development Associate;15;35000,00;Muy Bajo
35;Male;Bachelor's;Senior Financial Manager;9;100000,00;Medio
44;Female;PhD;Senior Product Designer;15;150000,00;Alto
33;Male;Bachelor's;Junior Business Analyst;4;60000,00;Bajo
35;Female;Bachelor's;Senior Marketing Analyst;8;85000,00;Bajo
44;Male;Bachelor's;Senior Software Engineer;13;130000,00;Medio
32;Male;Bachelor's;Junior Product Manager;4;65000,00;Bajo
38;Female;Bachelor's;Senior Business Analyst;10;110000,00;Medio
49;Male;PhD;Director of Operations;21;180000,00;Alto
29;Female;Bachelor's;Junior Marketing Specialist;2;40000,00;Muy Bajo
35;Male;Bachelor's;Senior Business Development Manager;7;90000,00;Bajo
45;Female;Master's;Senior HR Manager;14;140000,00;Medio
33;Male;Bachelor's;Junior Financial Analyst;4;60000,00;Bajo
40;Female;Bachelor's;Senior Marketing Manager;12;130000,00;Medio
44;Male;PhD;Senior Data Scientist;16;160000,00;Alto
30;Female;Bachelor's;Junior Operations Coordinator;2;40000,00;Muy Bajo
37;Male;Bachelor's;Senior Marketing Analyst;9;100000,00;Medio
48;Female;Master's;Director of HR;20;180000,00;Alto
31;Male;Bachelor's;Junior Project Manager;3;55000,00;Bajo
38;Female;Bachelor's;Senior Operations Coordinator;9;120000,00;Medio
45;Male;PhD;Senior Data Engineer;16;150000,00;Alto
33;Female;Bachelor's;Junior Marketing Manager;5;70000,00;Bajo
36;Male;Bachelor's;Senior Business Analyst;8;95000,00;Bajo
49;Female;Master's;Director of Marketing;21;180000,00;Alto
31;Male;Bachelor's;Junior Operations Analyst;3;50000,00;Muy Bajo
42;Female;Bachelor's;Senior Project Manager;12;120000,00;Medio
47;Male;Master's;Director of Marketing;19;170000,00;Alto
29;Female;Bachelor's;Junior Business Development Associate;15;35000,00;Muy Bajo
35;Male;Bachelor's;Senior Financial Manager;9;100000,00;Medio
44;Female;PhD;Senior Product Designer;15;150000,00;Alto
33;Male;Bachelor's;Junior Business Analyst;4;60000,00;Bajo
35;Female;Bachelor's;Senior Marketing Analyst;8;85000,00;Bajo
44;Male;Bachelor's;Senior Software Engineer;13;130000,00;Medio
34;Female;Master's;Senior Financial Advisor;6;80000,00;Bajo
36;Male;Bachelor's;Senior Marketing Specialist;8;95000,00;Bajo
30;Female;Bachelor's;Junior HR Coordinator;2;40000,00;Muy Bajo
37;Male;Bachelor's;Senior Business Development Manager;10;120000,00;Medio
45;Female;Master's;Senior Marketing Manager;16;160000,00;Alto
32;Male;Bachelor's;Junior Financial Advisor;4;65000,00;Bajo
39;Female;Bachelor's;Senior Project Manager;12;130000,00;Medio
47;Male;PhD;Director of Engineering;20;180000,00;Alto
29;Female;Bachelor's;Junior Marketing Analyst;2;40000,00;Muy Bajo
36;Male;Bachelor's;Senior Operations Manager;9;100000,00;Medio
43;Female;PhD;Senior Data Scientist;15;150000,00;Alto
32;Male;Bachelor's;Junior Marketing Coordinator;3;55000,00;Bajo
38;Female;Bachelor's;Senior Business Analyst;10;110000,00;Medio
48;Male;Master's;Director of Marketing;21;180000,00;Alto
31;Female;Bachelor's;Junior Business Development Associate;3;50000,00;Muy Bajo
40;Male;Bachelor's;Senior Financial Analyst;12;130000,00;Medio
45;Female;PhD;Senior UX Designer;16;160000,00;Alto
33;Male;Bachelor's;Junior Product Manager;4;60000,00;Bajo
36;Female;Bachelor's;Senior Marketing Manager;8;95000,00;Bajo
47;Male;Master's;Director of Operations;19;170000,00;Alto
29;Female;Bachelor's;Junior Project Manager;2;40000,00;Muy Bajo
34;Male;Bachelor's;Senior Operations Coordinator;7;90000,00;Bajo
44;Female;PhD;Senior Business Analyst;15;150000,00;Alto
33;Male;Bachelor's;Junior Marketing Specialist;5;70000,00;Bajo
35;Female;Bachelor's;Senior Financial Manager;8;90000,00;Bajo
43;Male;Master's;Director of Marketing;18;170000,00;Alto
31;Female;Bachelor's;Junior Financial Analyst;3;50000,00;Muy Bajo
41;Male;Bachelor's;Senior Product Manager;14;150000,00;Alto
44;Female;PhD;Senior Data Engineer;16;160000,00;Alto
33;Male;Bachelor's;Junior Business Analyst;4;60000,00;Bajo
35;Female;Bachelor's;Senior Marketing Analyst;8;85000,00;Bajo
45;Male;Master's;Director of Engineering;19;180000,00;Alto
28;Female;Bachelor's;Junior Operations Manager;1;35000,00;Muy Bajo
36;Male;Bachelor's;Senior Business Development Manager;8;110000,00;Medio
44;Female;PhD;Senior Data Scientist;16;160000,00;Alto
31;Male;Bachelor's;Junior Marketing Coordinator;3;55000,00;Bajo
38;Female;Bachelor's;Senior Business Analyst;10;110000,00;Medio
48;Male;Master's;Director of Marketing;21;180000,00;Alto
31;Female;Bachelor's;Junior Business Development Associate;3;50000,00;Muy Bajo
40;Male;Bachelor's;Senior Financial Analyst;12;130000,00;Medio
45;Female;PhD;Senior UX Designer;16;160000,00;Alto
33;Male;Bachelor's;Junior Product Manager;4;60000,00;Bajo
36;Female;Bachelor's;Senior Marketing Manager;8;95000,00;Bajo
47;Male;Master's;Director of Operations;19;170000,00;Alto
29;Female;Bachelor's;Junior Project Manager;2;40000,00;Muy Bajo
34;Male;Bachelor's;Senior Operations Coordinator;7;90000,00;Bajo
44;Female;PhD;Senior Business Analyst;15;150000,00;Alto
33;Male;Bachelor's;Junior Marketing Specialist;5;70000,00;Bajo
35;Female;Bachelor's;Senior Financial Manager;8;90000,00;Bajo
43;Male;Master's;Director of Marketing;18;170000,00;Alto
31;Female;Bachelor's;Junior Financial Analyst;3;50000,00;Muy Bajo
41;Male;Bachelor's;Senior Product Manager;14;150000,00;Alto
44;Female;PhD;Senior Data Engineer;16;160000,00;Alto
33;Male;Bachelor's;Junior Business Analyst;4;60000,00;Bajo
35;Female;Bachelor's;Senior Marketing Analyst;8;85000,00;Bajo
43;Male;Master's;Director of Operations;19;170000,00;Alto
29;Female;Bachelor's;Junior Project Manager;2;40000,00;Muy Bajo
34;Male;Bachelor's;Senior Operations Coordinator;7;90000,00;Bajo
44;Female;PhD;Senior Business Analyst;15;150000,00;Alto
31;Male;Master's;Data Scientist;6;160000,00;Alto
28;Female;Bachelor's;Software Engineer;3;125000,00;Medio
26;Male;Master's;Product Manager;2;120000,00;Medio
27;Female;Bachelor's;Data Analyst;2;110000,00;Medio
30;Male;PhD;Data Scientist;5;180000,00;Alto
29;Female;Bachelor's;Software Engineer;4;140000,00;Medio
32;Male;Bachelor's;Product Manager;7;170000,00;Alto
25;Female;Master's;Data Analyst;1;100000,00;Medio
33;Male;PhD;Data Scientist;8;190000,00;Muy Alto
31;Female;Bachelor's;Software Engineer;6;155000,00;Alto
28;Male;Master's;Product Manager;3;130000,00;Medio
30;Female;Bachelor's;Data Analyst;5;145000,00;Alto
27;Male;PhD;Data Scientist;2;115000,00;Medio
29;Female;Bachelor's;Software Engineer;4;140000,00;Medio
34;Male;Bachelor's;Product Manager;9;185000,00;Alto
25;Female;Master's;Data Analyst;1;100000,00;Medio
33;Male;PhD;Data Scientist;8;190000,00;Muy Alto
31;Female;Bachelor's;Software Engineer;6;155000,00;Alto
28;Male;Master's;Product Manager;3;130000,00;Medio
30;Female;Bachelor's;Data Analyst;5;145000,00;Alto
28;Male;Bachelor's;Software Engineer;3;125000,00;Medio
26;Female;Master's;Product Manager;2;120000,00;Medio
27;Male;Bachelor's;Data Analyst;2;110000,00;Medio
30;Female;PhD;Data Scientist;5;180000,00;Alto
29;Male;Bachelor's;Software Engineer;4;140000,00;Medio
32;Male;Bachelor's;Product Manager;7;170000,00;Alto
25;Female;Master's;Data Analyst;1;100000,00;Medio
33;Male;PhD;Data Scientist;8;190000,00;Muy Alto
31;Female;Bachelor's;Software Engineer;6;155000,00;Alto
28;Male;Master's;Product Manager;3;130000,00;Medio
30;Female;Bachelor's;Data Analyst;5;145000,00;Alto
27;Male;PhD;Data Scientist;2;115000,00;Medio
29;Female;Bachelor's;Software Engineer;4;140000,00;Medio
34;Male;Bachelor's;Product Manager;9;185000,00;Alto
25;Female;Master's;Data Analyst;1;100000,00;Medio
33;Male;PhD;Data Scientist;8;190000,00;Muy Alto
31;Female;Bachelor's;Software Engineer;6;155000,00;Alto
28;Male;Master's;Product Manager;3;130000,00;Medio
30;Female;Bachelor's;Data Analyst;5;145000,00;Alto
28;Male;Bachelor's;Software Engineer;3;125000,00;Medio
26;Female;Master's;Product Manager;2;120000,00;Medio
27;Male;Bachelor's;Data Analyst;2;110000,00;Medio
30;Female;PhD;Data Scientist;5;180000,00;Alto
29;Male;Bachelor's;Software Engineer;4;140000,00;Medio
32;Male;Bachelor's;Product Manager;7;170000,00;Alto
25;Female;Master's;Data Analyst;1;100000,00;Medio
33;Male;PhD;Data Scientist;8;190000,00;Muy Alto
31;Female;Bachelor's;Software Engineer;6;155000,00;Alto
28;Male;Master's;Product Manager;3;130000,00;Medio
30;Female;Bachelor's;Data Analyst;5;145000,00;Alto
27;Male;PhD;Data Scientist;2;115000,00;Medio
29;Female;Bachelor's;Software Engineer;4;140000,00;Medio
34;Male;Bachelor's;Product Manager;9;185000,00;Alto
25;Female;Master's;Data Analyst;1;100000,00;Medio
33;Male;PhD;Data Scientist;8;190000,00;Muy Alto
31;Female;Bachelor's;Software Engineer;6;155000,00;Alto
28;Male;Master's;Product Manager;3;130000,00;Medio
30;Female;Bachelor's;Data Analyst;5;145000,00;Alto
28;Male;Bachelor's;Software Engineer;3;125000,00;Medio
26;Female;Master's;Product Manager;2;120000,00;Medio
27;Male;Bachelor's;Data Analyst;2;110000,00;Medio
30;Female;PhD;Data Scientist;5;180000,00;Alto
